UNODC;unodc_ddds@un.org;;;;;;;;;
06/06/2022;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Dimension;Category;Sex;Year;Unit of measurement;VALUE;Source
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;531;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;761;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;161;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;11;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;52;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;50;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;44;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;5;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;532;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;1073;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;756;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;60;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;23;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;31;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;4;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;555;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;1176;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;859;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;62;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;39;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;217;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;214;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;424;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;16;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;635;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;1475;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;1137;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;51;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;245;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;236;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;403;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;14;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;888;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;1663;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;941;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;72;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;252;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;208;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;446;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;17;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;874;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;1628;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;869;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;90;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;11;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;30;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;72;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;2;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;25;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;17;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;89;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;21;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;14;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;81;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;23;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;14;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;2;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;61;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;13;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;17;CTS
AZE;Azerbaijan;Asia;Western Asia;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;39;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;4;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;5;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;0;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;0;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;37;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;74;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;57;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;3;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;6;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;2;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;1;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;0;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;39;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;81;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;43;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;4;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;282;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;153;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;43;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;16;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;251;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;123;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;25;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;3;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;185;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;172;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;2682;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;1213;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;308;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;2403;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;2113;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;1065;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;452;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;2458;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;2155;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;1363;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;378;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;176;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;2102;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;2590;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1457;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;288;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;229;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;2645;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;10575;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;3780;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;2207;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;4182;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;6155;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;3608;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;10533;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;3718;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;2200;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;4180;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;6310;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;3556;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;11014;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;3833;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;2335;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;4605;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;6783;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;3844;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;11527;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;4186;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;2533;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;5133;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;7723;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;4282;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;1491;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;467;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;244;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;7565;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;11099;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;4579;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;10;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1596;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;492;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;267;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;0;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;9159;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;12424;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;5141;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;25;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;1627;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;520;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;298;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;1;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;10575;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;13797;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;5074;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;29;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;1522;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;465;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;219;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;1;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;10869;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;12674;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;3978;CTS
CAN;Canada;Americas;Northern America;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;24;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;53;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;12;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;16;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;51;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;517;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;516;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;336;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;589;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;41;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;16;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;32;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;34;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;569;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;599;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;284;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;564;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;54;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;27;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;18;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;30;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;588;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;625;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;329;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;392;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;66;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;23;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;19;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;24;CTS
CHE;Switzerland;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;631;CTS
