UNODC;unodc_ddds@un.org;;;;;;;;;;
06/06/2022;;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Year;Unit of measurement;VALUE;Source
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;859;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;62;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;635;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;1475;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;1137;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;51;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;888;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;1663;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;941;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;72;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;874;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;1628;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;869;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;90;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;72;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;2;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;89;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;81;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;2;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;61;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;39;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;37;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;74;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;57;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;3;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;39;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;81;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;43;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;4;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;185;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;172;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;1213;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;308;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;2403;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;1065;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;452;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;2458;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;1363;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;378;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;176;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;2102;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1457;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;288;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;229;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;2645;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;4182;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;6155;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;3608;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;0;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;4180;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;6310;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;3556;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;0;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;0;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;4605;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;6783;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;3844;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;0;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;5133;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;7723;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;4282;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;7565;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;11099;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;4579;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;10;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;9159;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;12424;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;5141;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;25;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;10575;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;13797;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;5074;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;29;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;10869;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;12674;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;3978;CTS
CAN;Canada;Americas;Northern America;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;24;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;517;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;516;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;336;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;589;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;569;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;599;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;284;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;564;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;588;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;625;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;329;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;392;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;631;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;619;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;323;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;408;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;604;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;921;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;795;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;666;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;747;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;1032;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;808;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;660;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;778;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;Counts;968;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;Counts;756;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;Counts;735;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;783;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;1052;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;944;CTS
CHE;Switzerland;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;777;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;1307;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;12483;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;1343;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;2379;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;1307;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;12483;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;1343;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;2379;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;1560;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;13621;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;1103;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;2592;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;1792;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;13840;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;1116;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;1509;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;1862;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;15871;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;Counts;1172;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;Counts;1514;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1768;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;Counts;17919;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;Counts;1122;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;Counts;1500;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;8473;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;4567;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;716;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;292;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;325;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;643;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;39;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;292;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;325;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;643;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;39;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;283;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;336;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;621;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;57;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;275;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;328;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;615;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;60;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;320;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;Counts;460;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;Counts;3;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;Counts;510;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;5940;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;5814;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;10024;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;13538;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;3169;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;5598;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;9943;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;13979;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;2582;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;5545;CTS
DEU;Germany;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;11133;CTS
