UNODC;unodc_ddds@un.org;;;;;;;;
27/03/2023;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Sex;Year;Unit of measurement;VALUE;Source
CAN;Canada;Americas;Northern America;Victims of intentional homicide;Female;2012;Counts;157;MD/SDG/GSH 2023 Revision/CTS
CHE;Switzerland;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;17;MD/CTS
CHL;Chile;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;37;CTS/OAS/SDG
COL;Colombia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;1387;MD/CTS/GSH 2023 Revision
CPV;Cabo Verde;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2012;Counts;10,18181818;MD/CTS/SAS/MoH/NP
CRI;Costa Rica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;50;MD/CTS/SDG
CUB;Cuba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;138;MD/MoH
CYP;Cyprus;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;5;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;48;MD/GSH 2019 Revision/UNSDC/CTS
DEU;Germany;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;296;SDG/CTS/NP
DNK;Denmark;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;16;GSH 2019 Revision/MD/CTS/NSO
DOM;Dominican Republic;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;201;OAS/CTS/NGO
DZA;Algeria;Africa;Northern Africa;Victims of intentional homicide;Female;2012;Counts;52;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;231;MD/OAS/CTS/SDG
EGY;Egypt;Africa;Northern Africa;Victims of intentional homicide;Female;2012;Counts;261,8652112;CTS/External
ESP;Spain;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;125;MD/CTS/SDG
EST;Estonia;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;17;MD/CTS
FIN;Finland;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;41;MD/CTS/SDG
FJI;Fiji;Oceania;Melanesia;Victims of intentional homicide;Female;2012;Counts;7;NSO
GBR;United Kingdom of Great Britain and Northern Ireland;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;236,8137255;Computed
GBR_E_W;United Kingdom (England and Wales);Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;167;SDG/CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;3;CTS/SDG/GSH 2023 Revision/UNODC Research
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;12;MD/SDG/NSO
GRC;Greece;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;39;MD/CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;5;CTS
GTM;Guatemala;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;573;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;27;CTS
HKG;China, Hong Kong Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Female;2012;Counts;12;SDG/CTS
HND;Honduras;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;606;NP/CTS
HRV;Croatia;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;18;MD/CTS
HUN;Hungary;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;58;MD/CTS
IND;India;Asia;Southern Asia;Victims of intentional homicide;Female;2012;Counts;18451;MoI/NCRB India
IRL;Ireland;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;12,68292683;MD/CTS
IRQ;Iraq;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;509,677145;Computed
IRQ_C;Iraq (Central Iraq);Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;485;CTS
IRQ_KUR;Iraq (Kurdistan);Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;24,34545455;Computed
ISL;Iceland;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;1;MD/CTS/SDG
ISR;Israel;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;24;MD/NSO/SDG/GSH 2023 Revision
ITA;Italy;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;162,5766871;MD/CTS
JAM;Jamaica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;127;CTS/NP
JOR;Jordan;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;25;CTS
JPN;Japan;Asia;Eastern Asia;Victims of intentional homicide;Female;2012;Counts;240;GSH 2019 Revision/CTS/SDG/MoI
KAZ;Kazakhstan;Asia;Central Asia;Victims of intentional homicide;Female;2012;Counts;276;CTS
KOR;Republic of Korea;Asia;Eastern Asia;Victims of intentional homicide;Female;2012;Counts;219;GSH 2019 Revision/CTS
KWT;Kuwait;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;10;NP/CTS/SAS/NSO
LBN;Lebanon;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;15;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;6,324324324;MD/GSH 2019 Revision/CTS
LIE;Liechtenstein;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;0;CTS/NSO
LKA;Sri Lanka;Asia;Southern Asia;Victims of intentional homicide;Female;2012;Counts;171;CTS
LTU;Lithuania;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;53;MD/CTS
LUX;Luxembourg;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;0;MD/CTS/OHCHR
LVA;Latvia;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;37;CTS/SDG
MAC;China, Macao Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Female;2012;Counts;1;MD/CTS/Computed
MAR;Morocco;Africa;Northern Africa;Victims of intentional homicide;Female;2012;Counts;56;UNSDC/CTS
MDA;Republic of Moldova;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;63;MD/CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;2764;GSH 2019 Revision/NSO/CTS
MKD;North Macedonia;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;11;MD/CTS/SDG
MLT;Malta;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;3;CTS/NSO
MMR;Myanmar;Asia;South-eastern Asia;Victims of intentional homicide;Female;2012;Counts;241;CTS/SDG
MNE;Montenegro;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;3;CTS
MNG;Mongolia;Asia;Eastern Asia;Victims of intentional homicide;Female;2012;Counts;57;CTS/SDG
MSR;Montserrat;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;1;MD
MUS;Mauritius;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2012;Counts;10;MD/CTS/NSO/SDG
NIC;Nicaragua;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;64,0952381;OAS/CTS/MD/RIC/NP/UNODC Research/SDG
NLD;Netherlands;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;50;MD/NSO/CTS
NOR;Norway;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;9;MD/GSH 2019 Revision/CTS/NP
NZL;New Zealand;Oceania;Australia and New Zealand;Victims of intentional homicide;Female;2012;Counts;21;MD/CTS/NP
PAN;Panama;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;34,10708661;MD/CTS/PPR/External
PER;Peru;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;314;SDG/CTS
PHL;Philippines;Asia;South-eastern Asia;Victims of intentional homicide;Female;2012;Counts;1086,557584;CTS
POL;Poland;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;110,7479893;MD/CTS/GSH 2019 Revision
PRI;Puerto Rico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;83;MD/NSO/SDG
PRT;Portugal;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;41,33884298;MD/SDG/GSH 2023 Revision
PRY;Paraguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;73;CTS
PSE;State of Palestine;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;4;CTS/NSO/NP
QAT;Qatar;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;1;MD/SDG/MoI
ROU;Romania;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;83;MD/SDG/CTS
RUS;Russian Federation;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;4239;WHO/NSO/GSH 2019 Revision/GSH 2023 Revision/CTS
SGP;Singapore;Asia;South-eastern Asia;Victims of intentional homicide;Female;2012;Counts;6;CTS/SDG
SLV;El Salvador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;322;PAHO/CTS
SRB;Serbia;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;39;MD/CTS/GSH 2023 Revision/SDG
SVK;Slovakia;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;18;SDG/CTS
SVN;Slovenia;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;6;CTS
SWE;Sweden;Europe;Northern Europe;Victims of intentional homicide;Female;2012;Counts;21;MD/SDG/CTS
SYC;Seychelles;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2012;Counts;0,444444444;MD
THA;Thailand;Asia;South-eastern Asia;Victims of intentional homicide;Female;2012;Counts;474,7142857;MD
TKM;Turkmenistan;Asia;Central Asia;Victims of intentional homicide;Female;2012;Counts;29;WHO
TON;Tonga;Oceania;Polynesia;Victims of intentional homicide;Female;2012;Counts;1;NP/External
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;45;CTS/GSH 2019 Revision/NGO
TUR;Türkiye;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;606;UNECE/CTS
TZA;United Republic of Tanzania;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2012;Counts;521;CTS/NSO
UGA;Uganda;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2012;Counts;741;CTS
URY;Uruguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;38;CTS/UNSDC
USA;United States of America;Americas;Northern America;Victims of intentional homicide;Female;2012;Counts;3301;UNSDC/NP/CTS/SDG
VAT;Holy See;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;0;CTS
VEN;Venezuela (Bolivarian Republic of);Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;940,7606426;MD/OAS/CTS
VIR;United States Virgin Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;2;MD
XKX;Kosovo under UNSCR 1244;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;11;CTS
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;1;MD
AIA;Anguilla;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;0;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;20;MD/CTS/GSH 2023 Revision/SDG/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;18,28301887;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;19;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Female;2013;Counts;94;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;29;MD/GSH 2023 Revision/CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;70;NSO/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;97;SDG
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;98,77272727;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;34;MD/CTS
BHR;Bahrain;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;1;SDG/MoI
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;15;MD/CTS/GSH 2023 Revision/NP
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;14;UNECE/CTS/SDG
BLR;Belarus;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;103;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;10;OAS/CTS/MoI
BMU;Bermuda;Americas;Northern America;Victims of intentional homicide;Female;2013;Counts;0;MD/CTS/External
BRA;Brazil;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;4767;MD/DATASUS
BRB;Barbados;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;7;MD/CTS
CAN;Canada;Americas;Northern America;Victims of intentional homicide;Female;2013;Counts;151;MD/SDG/GSH 2023 Revision/CTS
CHE;Switzerland;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;32;MD/CTS
CHL;Chile;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;108;CTS/OAS/SDG
COL;Colombia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;1223;MD/CTS/GSH 2023 Revision
CPV;Cabo Verde;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;7;MD/CTS/SAS/MoH/NP
CRI;Costa Rica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;36;MD/CTS/SDG
CUB;Cuba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;147;MD/MoH
CYM;Cayman Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;0;MD/NSO
CYP;Cyprus;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;3;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;51;MD/GSH 2019 Revision/UNSDC/CTS
DEU;Germany;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;328;SDG/CTS/NP
DNK;Denmark;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;13;GSH 2019 Revision/MD/CTS/NSO
DZA;Algeria;Africa;Northern Africa;Victims of intentional homicide;Female;2013;Counts;39;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;253;MD/OAS/CTS/SDG
ESP;Spain;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;121;MD/CTS/SDG
EST;Estonia;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;18;MD/CTS
FIN;Finland;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;23;MD/CTS/SDG
FJI;Fiji;Oceania;Melanesia;Victims of intentional homicide;Female;2013;Counts;8;NSO
GBR;United Kingdom of Great Britain and Northern Ireland;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;225,3709302;Computed
GBR_E_W;United Kingdom (England and Wales);Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;184;SDG/CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;5;CTS/SDG/GSH 2023 Revision/UNODC Research
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;15;MD/SDG/NSO
GRC;Greece;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;50;MD/CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;2;CTS
GTM;Guatemala;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;654;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;30;CTS
HKG;China, Hong Kong Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Female;2013;Counts;37;SDG/CTS
HND;Honduras;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;489,5097397;NP/CTS
HRV;Croatia;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;21;MD/CTS
HTI;Haiti;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;70;DPKO/CTS/NP
HUN;Hungary;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;71;MD/CTS
IND;India;Asia;Southern Asia;Victims of intentional homicide;Female;2013;Counts;17911;MoI/NCRB India
IRL;Ireland;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;7,846153846;MD/CTS
IRN;Iran (Islamic Republic of);Asia;Southern Asia;Victims of intentional homicide;Female;2013;Counts;292,1434185;MD
IRQ;Iraq;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;540,6565836;Computed
IRQ_C;Iraq (Central Iraq);Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;517;CTS
IRQ_KUR;Iraq (Kurdistan);Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;22,35416667;Computed
ISL;Iceland;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;0;MD/CTS/SDG
ISR;Israel;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;35;MD/NSO/SDG/GSH 2023 Revision
ITA;Italy;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;179;MD/CTS
JAM;Jamaica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;130;CTS/NP
JPN;Japan;Asia;Eastern Asia;Victims of intentional homicide;Female;2013;Counts;191;GSH 2019 Revision/CTS/SDG/MoI
KAZ;Kazakhstan;Asia;Central Asia;Victims of intentional homicide;Female;2013;Counts;280;CTS
KOR;Republic of Korea;Asia;Eastern Asia;Victims of intentional homicide;Female;2013;Counts;182;GSH 2019 Revision/CTS
LBN;Lebanon;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;21;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;5;MD/GSH 2019 Revision/CTS
LIE;Liechtenstein;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;0;CTS/NSO
LKA;Sri Lanka;Asia;Southern Asia;Victims of intentional homicide;Female;2013;Counts;146;CTS
LTU;Lithuania;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;60;MD/CTS
LUX;Luxembourg;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;0;MD/CTS/OHCHR
LVA;Latvia;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;24;CTS/SDG
MAC;China, Macao Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Female;2013;Counts;1;MD/CTS/Computed
MAR;Morocco;Africa;Northern Africa;Victims of intentional homicide;Female;2013;Counts;66;UNSDC/CTS
MCO;Monaco;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;0;CTS
MDA;Republic of Moldova;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;69;MD/CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;2648;GSH 2019 Revision/NSO/CTS
MKD;North Macedonia;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;7;MD/CTS/SDG
MLT;Malta;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;0;CTS/NSO
MMR;Myanmar;Asia;South-eastern Asia;Victims of intentional homicide;Female;2013;Counts;208;CTS/SDG
MNE;Montenegro;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;1;CTS
MNG;Mongolia;Asia;Eastern Asia;Victims of intentional homicide;Female;2013;Counts;58;CTS/SDG
MUS;Mauritius;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;11;MD/CTS/NSO/SDG
NIC;Nicaragua;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;65;OAS/CTS/MD/RIC/NP/UNODC Research/SDG
NLD;Netherlands;Europe;Western Europe;Victims of intentional homicide;Female;2013;Counts;56;MD/NSO/CTS
NOR;Norway;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;20;MD/GSH 2019 Revision/CTS/NP
NZL;New Zealand;Oceania;Australia and New Zealand;Victims of intentional homicide;Female;2013;Counts;12;MD/CTS/NP
PAN;Panama;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;50;MD/CTS/PPR/External
PER;Peru;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;309;SDG/CTS
POL;Poland;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;85,60141509;MD/CTS/GSH 2019 Revision
PRI;Puerto Rico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;53;MD/NSO/SDG
PRT;Portugal;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;51,95876289;MD/SDG/GSH 2023 Revision
PRY;Paraguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;52;CTS
QAT;Qatar;Asia;Western Asia;Victims of intentional homicide;Female;2013;Counts;1;MD/SDG/MoI
ROU;Romania;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;58;MD/SDG/CTS
RUS;Russian Federation;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;4021;WHO/NSO/GSH 2019 Revision/GSH 2023 Revision/CTS
SGP;Singapore;Asia;South-eastern Asia;Victims of intentional homicide;Female;2013;Counts;6;CTS/SDG
SLV;El Salvador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;217;PAHO/CTS
SRB;Serbia;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;47;MD/CTS/GSH 2023 Revision/SDG
SUR;Suriname;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;3;PAHO/OAS/CTS
SVK;Slovakia;Europe;Eastern Europe;Victims of intentional homicide;Female;2013;Counts;23;SDG/CTS
SVN;Slovenia;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;3;CTS
SWE;Sweden;Europe;Northern Europe;Victims of intentional homicide;Female;2013;Counts;26;MD/SDG/CTS
SYC;Seychelles;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;6,545454545;MD
TCA;Turks and Caicos Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;1;MD
THA;Thailand;Asia;South-eastern Asia;Victims of intentional homicide;Female;2013;Counts;378,1442276;MD
TKM;Turkmenistan;Asia;Central Asia;Victims of intentional homicide;Female;2013;Counts;27;WHO
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;39;CTS/GSH 2019 Revision/NGO
TZA;United Republic of Tanzania;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;494;CTS/NSO
UGA;Uganda;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2013;Counts;791;CTS
URY;Uruguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2013;Counts;54;CTS/UNSDC
USA;United States of America;Americas;Northern America;Victims of intentional homicide;Female;2013;Counts;3169,381276;UNSDC/NP/CTS/SDG
VAT;Holy See;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;0;CTS
XKX;Kosovo under UNSCR 1244;Europe;Southern Europe;Victims of intentional homicide;Female;2013;Counts;4;CTS
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2014;Counts;0;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Female;2014;Counts;12;MD/CTS/GSH 2023 Revision/SDG/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Female;2014;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Female;2014;Counts;16,33928571;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Female;2014;Counts;20;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Female;2014;Counts;94;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Female;2014;Counts;22;MD/GSH 2023 Revision/CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Female;2014;Counts;87;NSO/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Victims of intentional homicide;Female;2014;Counts;102;SDG
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Female;2014;Counts;81,05263158;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Female;2014;Counts;26;MD/CTS
BHR;Bahrain;Asia;Western Asia;Victims of intentional homicide;Female;2014;Counts;0;SDG/MoI
