UNODC;unodc_ddds@un.org;;;;;;;;
27/03/2023;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Sex;Year;Unit of measurement;VALUE;Source
DNK;Denmark;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;31;GSH 2019 Revision/MD/CTS/NSO
DOM;Dominican Republic;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;2067;OAS/CTS/NGO
DZA;Algeria;Africa;Northern Africa;Victims of intentional homicide;Male;2012;Counts;195;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;1691;MD/OAS/CTS/SDG
EGY;Egypt;Africa;Northern Africa;Victims of intentional homicide;Male;2012;Counts;1945,134789;CTS
ESP;Spain;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;239;MD/CTS/SDG
EST;Estonia;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;46;MD/CTS/UNODC Research
FIN;Finland;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;48;MD/CTS/SDG
FJI;Fiji;Oceania;Melanesia;Victims of intentional homicide;Male;2012;Counts;13;NSO
GBR;United Kingdom of Great Britain and Northern Ireland;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;390,1862745;Computed
GBR_E_W;United Kingdom (England and Wales);Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;375;SDG/CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;18;CTS/SDG/GSH 2023 Revision
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;51;MD/SDG/NSO
GRC;Greece;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;127;MD/CTS/UNODC Research
GRD;Grenada;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;9;CTS/UNODC Research
GTM;Guatemala;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;4582;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;112;CTS/UNODC Research
HKG;China, Hong Kong Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Male;2012;Counts;15;SDG/CTS
HND;Honduras;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;6566;NP/CTS
HRV;Croatia;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;33;MD/CTS/UNODC Research
HUN;Hungary;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;66;MD/CTS
IND;India;Asia;Southern Asia;Victims of intentional homicide;Male;2012;Counts;29027;MoI/NCRB India
IRL;Ireland;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;39,31707317;MD/CTS
IRQ;Iraq;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;2187,322855;Computed
IRQ_C;Iraq (Central Iraq);Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;2109;CTS
IRQ_KUR;Iraq (Kurdistan);Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;78,65454545;Computed
ISL;Iceland;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;0;MD/CTS
ISR;Israel;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;104;MD/NSO/SDG/GSH 2023 Revision
ITA;Italy;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;367,4233129;MD/CTS/SDG
JAM;Jamaica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;975;CTS/NP
JOR;Jordan;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;136;CTS
JPN;Japan;Asia;Eastern Asia;Victims of intentional homicide;Male;2012;Counts;189;GSH 2019 Revision/CTS/SDG/MoI
KAZ;Kazakhstan;Asia;Central Asia;Victims of intentional homicide;Male;2012;Counts;990;CTS
KOR;Republic of Korea;Asia;Eastern Asia;Victims of intentional homicide;Male;2012;Counts;216;GSH 2019 Revision/CTS
KWT;Kuwait;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;51;NP/CTS/SAS/NSO
LBN;Lebanon;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;168;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;32,67567568;MD/GSH 2019 Revision/CTS
LIE;Liechtenstein;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;0;CTS/NSO
LKA;Sri Lanka;Asia;Southern Asia;Victims of intentional homicide;Male;2012;Counts;505;CTS/GSH 2019 Revision
LTU;Lithuania;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;149;MD/CTS
LUX;Luxembourg;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;0;MD/CTS/OHCHR
LVA;Latvia;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;33;CTS/SDG
MAC;China, Macao Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Male;2012;Counts;3;SDG/CTS/Computed
MAR;Morocco;Africa;Northern Africa;Victims of intentional homicide;Male;2012;Counts;327;UNSDC/CTS
MDA;Republic of Moldova;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;166;MD/CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;22986;GSH 2019 Revision/NSO/CTS
MKD;North Macedonia;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;18;MD/CTS/SDG
MLT;Malta;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;9;CTS/NSO/SDG
MMR;Myanmar;Asia;South-eastern Asia;Victims of intentional homicide;Male;2012;Counts;1195;CTS/SDG
MNE;Montenegro;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;14;CTS
MNG;Mongolia;Asia;Eastern Asia;Victims of intentional homicide;Male;2012;Counts;142;CTS
MSR;Montserrat;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;0;MD
MUS;Mauritius;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2012;Counts;18;MD/CTS/NSO/SDG
NIC;Nicaragua;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;608,9047619;OAS/CTS/MD/RIC/NP/SDG
NLD;Netherlands;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;95;MD/NSO/CTS
NOR;Norway;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;18;MD/GSH 2019 Revision/CTS/NP
NZL;New Zealand;Oceania;Australia and New Zealand;Victims of intentional homicide;Male;2012;Counts;20;MD/CTS/NP
PAN;Panama;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;602,8929134;MD/CTS/PPR/External
PER;Peru;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;1633;SDG/CTS
PHL;Philippines;Asia;South-eastern Asia;Victims of intentional homicide;Male;2012;Counts;7397,442416;CTS
POL;Poland;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;298,2520107;MD/CTS/GSH 2019 Revision
PRI;Puerto Rico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;932;MD/NSO/SDG
PRT;Portugal;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;80,66115702;MD/SDG/GSH 2023 Revision
PRY;Paraguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;576;CTS
PSE;State of Palestine;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;22;CTS/NSO/NP
QAT;Qatar;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;6;MD/SDG/MoI
ROU;Romania;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;129;MD/SDG/CTS
RUS;Russian Federation;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;12008;WHO/NSO/GSH 2019 Revision/GSH 2023 Revision/CTS
SGP;Singapore;Asia;South-eastern Asia;Victims of intentional homicide;Male;2012;Counts;5;CTS/SDG
SLV;El Salvador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;2272;PAHO/CTS
SRB;Serbia;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;71;MD/CTS/GSH 2023 Revision
SVK;Slovakia;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;45;SDG/GSH 2023 Revision/CTS
SVN;Slovenia;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;8;CTS
SWE;Sweden;Europe;Northern Europe;Victims of intentional homicide;Male;2012;Counts;46;MD/SDG/CTS
SYC;Seychelles;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2012;Counts;3,555555556;MD
THA;Thailand;Asia;South-eastern Asia;Victims of intentional homicide;Male;2012;Counts;2848,285714;MD
TKM;Turkmenistan;Asia;Central Asia;Victims of intentional homicide;Male;2012;Counts;50;WHO
TON;Tonga;Oceania;Polynesia;Victims of intentional homicide;Male;2012;Counts;0;NP/External
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;335;CTS/GSH 2019 Revision/NGO
TUR;Türkiye;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;2610;UNECE/CTS
TZA;United Republic of Tanzania;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2012;Counts;3571;CTS/NSO
UGA;Uganda;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2012;Counts;3325;CTS
URY;Uruguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;229;CTS/UNSDC
USA;United States of America;Americas;Northern America;Victims of intentional homicide;Male;2012;Counts;11555;UNSDC/NP/CTS/SDG
VAT;Holy See;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;0;CTS
VEN;Venezuela (Bolivarian Republic of);Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;15131,23936;MD/OAS/CTS
VIR;United States Virgin Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;50;MD
XKX;Kosovo under UNSCR 1244;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;79;CTS
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;5;MD
AIA;Anguilla;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;1;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;104;MD/CTS/GSH 2023 Revision/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;38,71698113;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;44;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Male;2013;Counts;151;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;32;MD/CTS/GSH 2023 Revision
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;151;NSO/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;423;SDG
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;106,2272727;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;75;MD/CTS
BHR;Bahrain;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;10;SDG/MoI
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;102;MD/CTS/GSH 2023 Revision/NP
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;32;UNECE/CTS/SDG
BLR;Belarus;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;230;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;89;OAS/CTS/MoI
BMU;Bermuda;Americas;Northern America;Victims of intentional homicide;Male;2013;Counts;5;MD/CTS/External
BRA;Brazil;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;51973;MD/DATASUS
BRB;Barbados;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;17;MD/CTS
CAN;Canada;Americas;Northern America;Victims of intentional homicide;Male;2013;Counts;358;MD/SDG/GSH 2023 Revision/CTS
CHE;Switzerland;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;25;MD/CTS
CHL;Chile;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;448;CTS/OAS/SDG
COL;Colombia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;14190;MD/CTS/GSH 2023 Revision
CPV;Cabo Verde;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;47;MD/CTS/SAS/MoH/NP
CRI;Costa Rica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;375;MD/CTS/SDG
CUB;Cuba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;527;MD/MoH
CYM;Cayman Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;5;MD/NSO
CYP;Cyprus;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;9;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;39;MD/GSH 2019 Revision/UNSDC/CTS
DEU;Germany;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;354;SDG/CTS/NP
DNK;Denmark;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;35;GSH 2019 Revision/MD/CTS/NSO
DZA;Algeria;Africa;Northern Africa;Victims of intentional homicide;Male;2013;Counts;170;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;1472;MD/OAS/CTS/SDG
ESP;Spain;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;181;MD/CTS/SDG
EST;Estonia;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;34;MD/CTS/UNODC Research
FIN;Finland;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;66;MD/CTS/SDG
FJI;Fiji;Oceania;Melanesia;Victims of intentional homicide;Male;2013;Counts;11;NSO
GBR;United Kingdom of Great Britain and Northern Ireland;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;377,6290698;Computed
GBR_E_W;United Kingdom (England and Wales);Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;337;SDG/CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;15;CTS/SDG/GSH 2023 Revision
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;47;MD/SDG/NSO
GRC;Greece;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;103;MD/CTS/UNODC Research
GRD;Grenada;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;4;CTS/UNODC Research
GTM;Guatemala;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;4599;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;125;CTS/UNODC Research
HKG;China, Hong Kong Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Male;2013;Counts;25;SDG/CTS
HND;Honduras;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;5941,49026;NP/CTS
HRV;Croatia;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;25;MD/CTS/UNODC Research
HTI;Haiti;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;969;DPKO/NP
HUN;Hungary;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;83;MD/CTS
IND;India;Asia;Southern Asia;Victims of intentional homicide;Male;2013;Counts;27967;MoI/NCRB India
IRL;Ireland;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;43,15384615;MD/CTS
IRN;Iran (Islamic Republic of);Asia;Southern Asia;Victims of intentional homicide;Male;2013;Counts;1744,856582;MD
IRQ;Iraq;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;2798,343416;Computed
IRQ_C;Iraq (Central Iraq);Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;2711;CTS
IRQ_KUR;Iraq (Kurdistan);Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;88,64583333;Computed
ISL;Iceland;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;1;MD/CTS
ISR;Israel;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;92;MD/NSO/SDG/GSH 2023 Revision
ITA;Italy;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;323;MD/CTS/SDG
JAM;Jamaica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;1072;CTS/NP
JPN;Japan;Asia;Eastern Asia;Victims of intentional homicide;Male;2013;Counts;179;GSH 2019 Revision/CTS/SDG/MoI
KAZ;Kazakhstan;Asia;Central Asia;Victims of intentional homicide;Male;2013;Counts;840;CTS
KOR;Republic of Korea;Asia;Eastern Asia;Victims of intentional homicide;Male;2013;Counts;170;GSH 2019 Revision/CTS
LBN;Lebanon;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;167;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;28;MD/GSH 2019 Revision/CTS
LIE;Liechtenstein;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;0;CTS/NSO
LKA;Sri Lanka;Asia;Southern Asia;Victims of intentional homicide;Male;2013;Counts;473;CTS/GSH 2019 Revision
LTU;Lithuania;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;138;MD/CTS
LUX;Luxembourg;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;0;MD/CTS/OHCHR
LVA;Latvia;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;26;CTS/SDG
MAC;China, Macao Special Administrative Region;Asia;Eastern Asia;Victims of intentional homicide;Male;2013;Counts;0;SDG/CTS/Computed
MAR;Morocco;Africa;Northern Africa;Victims of intentional homicide;Male;2013;Counts;363;UNSDC/CTS
MCO;Monaco;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;0;CTS
MDA;Republic of Moldova;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;160;MD/CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;20280;GSH 2019 Revision/NSO/CTS
MKD;North Macedonia;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;15;MD/CTS/SDG
MLT;Malta;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;7;CTS/NSO/SDG
MMR;Myanmar;Asia;South-eastern Asia;Victims of intentional homicide;Male;2013;Counts;1030;CTS/SDG
MNE;Montenegro;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;9;CTS
MNG;Mongolia;Asia;Eastern Asia;Victims of intentional homicide;Male;2013;Counts;149;CTS
MUS;Mauritius;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;24;MD/CTS/NSO/SDG
NIC;Nicaragua;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;529;OAS/CTS/MD/RIC/NP/SDG
NLD;Netherlands;Europe;Western Europe;Victims of intentional homicide;Male;2013;Counts;69;MD/NSO/CTS
NOR;Norway;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;26;MD/GSH 2019 Revision/CTS/NP
NZL;New Zealand;Oceania;Australia and New Zealand;Victims of intentional homicide;Male;2013;Counts;34;MD/CTS/NP
PAN;Panama;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;613;MD/CTS/PPR/External
PER;Peru;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;1693;SDG/CTS
POL;Poland;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;219,3985849;MD/CTS/GSH 2019 Revision
PRI;Puerto Rico;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;871;MD/NSO/SDG
PRT;Portugal;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;92,04123711;MD/SDG/GSH 2023 Revision
PRY;Paraguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;552;CTS
QAT;Qatar;Asia;Western Asia;Victims of intentional homicide;Male;2013;Counts;8;MD/SDG/MoI
ROU;Romania;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;160;MD/SDG/CTS
RUS;Russian Federation;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;12012;WHO/NSO/GSH 2019 Revision/GSH 2023 Revision/CTS
SGP;Singapore;Asia;South-eastern Asia;Victims of intentional homicide;Male;2013;Counts;11;CTS/SDG
SLV;El Salvador;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;2296;PAHO/CTS
SRB;Serbia;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;92;MD/CTS/GSH 2023 Revision
SUR;Suriname;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;26;PAHO/OAS/CTS
SVK;Slovakia;Europe;Eastern Europe;Victims of intentional homicide;Male;2013;Counts;48;SDG/GSH 2023 Revision/CTS
SVN;Slovenia;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;9;CTS
SWE;Sweden;Europe;Northern Europe;Victims of intentional homicide;Male;2013;Counts;61;MD/SDG/CTS
SYC;Seychelles;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;11,45454545;MD
TCA;Turks and Caicos Islands;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;3;MD
THA;Thailand;Asia;South-eastern Asia;Victims of intentional homicide;Male;2013;Counts;2515,855772;MD
TKM;Turkmenistan;Asia;Central Asia;Victims of intentional homicide;Male;2013;Counts;57;WHO
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;368;CTS/GSH 2019 Revision/NGO
TZA;United Republic of Tanzania;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;3203;CTS/NSO
UGA;Uganda;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2013;Counts;3066;CTS
URY;Uruguay;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2013;Counts;206;CTS/UNSDC
USA;United States of America;Americas;Northern America;Victims of intentional homicide;Male;2013;Counts;11149,61872;UNSDC/NP/CTS/SDG
VAT;Holy See;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;0;CTS
XKX;Kosovo under UNSCR 1244;Europe;Southern Europe;Victims of intentional homicide;Male;2013;Counts;37;CTS
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2014;Counts;2;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Male;2014;Counts;122;MD/CTS/GSH 2023 Revision/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Male;2014;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Male;2014;Counts;44,66071429;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Male;2014;Counts;52;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Male;2014;Counts;149;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Male;2014;Counts;20;MD/CTS/GSH 2023 Revision
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Male;2014;Counts;149;NSO/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2014;Counts;462;SDG
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Male;2014;Counts;128,9473684;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Male;2014;Counts;86;MD/CTS
