gruppoPar,gender
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
MSI-DESTRA NAZIONALE ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
PARTITO SOCIALISTA ITALIANO ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO RADICALE ,female
PARTITO REPUBBLICANO ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
SINISTRA INDIPENDENTE ,female
VERDE ,female
COMUNISTA ,female
VERDE ,female
MISTO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
REPUBBLICANO ,female
MISTO ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
CCD-CDU BIANCOFIORE ,female
LEGA NORD PADANIA ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
MISTO ,female
"MARGHERITA, DL-L'ULIVO ",female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
CCD-CDU BIANCOFIORE ,female
POPOLO DELLA LIBERTA' ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
DEMOCRAZIA PROLETARIA ,female
VERDE ,female
SINISTRA INDIPENDENTE ,female
COMUNISTA ,female
SINISTRA INDIPENDENTE ,female
SINISTRA INDIPENDENTE ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
COMUNISTA ,female
COMUNISTA ,female
SINISTRA INDIPENDENTE ,female
COMUNISTA ,female
SINISTRA INDIPENDENTE ,female
VERDE ,female
DEMOCRAZIA PROLETARIA ,female
COMUNISTA ,female
COMUNISTA ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
FORZA ITALIA ,female
LEGA NORD PADANIA ,female
MISTO ,female
FORZA ITALIA ,female
MISTO ,female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
MISTO ,female
MISTO ,female
RIFONDAZIONE COMUNISTA ,female
MISTO ,female
"MARGHERITA, DL-L'ULIVO ",female
DEMOCRATICI DI SINISTRA-L'ULIVO ,female
COMUNISTA - PDS ,female
LA ROSA NEL PUGNO ,female
DEMOCRATICO CRISTIANO ,female
ALLEANZA NAZIONALE ,female
RIFONDAZIONE COMUNISTA ,female
L'ULIVO ,female
L'ULIVO ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
L'ULIVO ,female
FORZA ITALIA ,female
UDC ,female
ALLEANZA NAZIONALE ,female
FORZA ITALIA ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
ALLEANZA NAZIONALE ,female
ALLEANZA NAZIONALE ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
ALLEANZA NAZIONALE ,female
FORZA ITALIA ,female
ALLEANZA NAZIONALE ,female
L'ULIVO ,female
L'ULIVO ,female
L'ULIVO ,female
ITALIA DEI VALORI ,female
ALLEANZA NAZIONALE ,female
FORZA ITALIA ,female
L'ULIVO ,female
L'ULIVO ,female
ALLEANZA NAZIONALE ,female
SINISTRA DEMOCRATICA. PER IL SOCIALISMO EUROPEO ,female
LEGA NORD PADANIA ,female
VERDI ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
L'ULIVO ,female
FORZA ITALIA ,female
UDC ,female
LA ROSA NEL PUGNO ,female
COMUNISTI ITALIANI ,female
FORZA ITALIA ,female
ALLEANZA NAZIONALE ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
L'ULIVO ,female
L'ULIVO ,female
MISTO ,female
FORZA ITALIA ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
MISTO ,female
MISTO ,female
L'ULIVO ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA ,female
VERDI ,female
LEGA NORD PADANIA ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
LEGA NORD PADANIA ,female
POPOLO DELLA LIBERTA' ,female
LEGA NORD PADANIA ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
LEGA NORD PADANIA ,female
LEGA NORD PADANIA ,female
LEGA NORD PADANIA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
LEGA NORD PADANIA ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
POPOLO DELLA LIBERTA' ,female
INIZIATIVA RESPONSABILE ,female
POPOLO DELLA LIBERTA' ,female
INIZIATIVA RESPONSABILE ,female
LEGA NORD PADANIA ,female
ITALIA DEI VALORI ,female
LEGA NORD PADANIA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
POPOLO DELLA LIBERTA' ,female
VERDE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
LEGA NORD PADANIA ,female
COMUNISTA ,female
COMUNISTA ,female
PER L'ITALIA ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
SINISTRA ECOLOGIA LIBERTA' ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
SCELTA CIVICA PER L'ITALIA ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE ,female
SCELTA CIVICA PER L'ITALIA ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
SCELTA CIVICA PER L'ITALIA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
MISTO ,female
IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA ,female
PARTITO DEMOCRATICO ,female
FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
SCELTA CIVICA PER L'ITALIA ,female
PARTITO DEMOCRATICO ,female
COMUNISTA ,female
POPOLO DELLA LIBERTA' ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
SINISTRA ECOLOGIA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
SINISTRA ECOLOGIA LIBERTA' ,female
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
COMUNISTA ,female
MISTO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
SCELTA CIVICA PER L'ITALIA ,female
PARTITO DEMOCRATICO ,female
SINISTRA ECOLOGIA LIBERTA' ,female
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA ,female
SINISTRA ECOLOGIA LIBERTA' ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
LEGA NORD ,female
COMUNISTA - PDS ,female
RIFONDAZIONE COMUNISTA ,female
COMUNISTA - PDS ,female
COMUNISTA - PDS ,female
LEGA NORD ,female
COMUNISTA - PDS ,female
RIFONDAZIONE COMUNISTA ,female
COMUNISTA - PDS ,female
LEGA NORD ,female
DEMOCRATICO CRISTIANO ,female
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,female
LEGA NORD ,female
COMUNISTA - PDS ,female
COMUNISTA - PDS ,female
LEGA NORD ,female
MOVIMENTO PER LA DEMOCRAZIA: LA RETE ,female
COMUNISTA ,female
REPUBBLICANO ,female
RIFONDAZIONE COMUNISTA ,female
MOVIMENTO 5 STELLE ,female
FEDERALISTA EUROPEO ,female
COMUNISTA ,female
VERDE ,female
COMUNISTA - PDS ,female
DEMOCRATICO CRISTIANO ,female
LEGA NORD ,female
PROGRESSISTI - FEDERATIVO ,female
FORZA ITALIA ,female
COMUNISTA ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
FEDERALISTI E LIBERALDEMOCRATICI ,female
LEGA NORD ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
FEDERALISTI E LIBERALDEMOCRATICI ,female
PARTITO POPOLARE ITALIANO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
ALLEANZA NAZIONALE - MSI ,female
PROGRESSISTI - FEDERATIVO ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
PARTITO POPOLARE ITALIANO ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
LEGA NORD ,female
FEDERALISTI E LIBERALDEMOCRATICI ,female
FORZA ITALIA ,female
PARTITO SOCIALISTA ITALIANO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
PROGRESSISTI - FEDERATIVO ,female
MISTO ,female
PROGRESSISTI - FEDERATIVO ,female
LEGA NORD ,female
LEGA NORD ,female
CENTRO CRISTIANO DEMOCRATICO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
PARTITO POPOLARE ITALIANO ,female
LEGA NORD ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
FORZA ITALIA ,female
PROGRESSISTI - FEDERATIVO ,female
MISTO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
LEGA NORD ,female
ALLEANZA NAZIONALE - MSI ,female
FORZA ITALIA ,female
FORZA ITALIA ,female
PROGRESSISTI - FEDERATIVO ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
ALLEANZA NAZIONALE - MSI ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
PROGRESSISTI - FEDERATIVO ,female
FORZA ITALIA ,female
PROGRESSISTI - FEDERATIVO ,female
DEMOCRATICO CRISTIANO ,female
FORZA ITALIA ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
LEGA NORD ,female
I DEMOCRATICI ,female
FORZA ITALIA ,female
PROGRESSISTI - FEDERATIVO ,female
ALLEANZA NAZIONALE - MSI ,female
CENTRO CRISTIANO DEMOCRATICO ,female
PARTITO POPOLARE ITALIANO ,female
PROGRESSISTI - FEDERATIVO ,female
PROGRESSISTI - FEDERATIVO ,female
MISTO ,female
FORZA ITALIA ,female
LEGA NORD ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
LEGA NORD ,female
PROGRESSISTI - FEDERATIVO ,female
FORZA ITALIA ,female
PARTITO POPOLARE ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
PARTITO COMUNISTA ITALIANO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
FORZA ITALIA ,female
LEGA NORD ,female
FORZA ITALIA ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
POPOLARI DEMOCRATICI - L'ULIVO ,female
LEGA PADANIA ,female
MISTO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
POPOLARI DEMOCRATICI - L'ULIVO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
ALLEANZA NAZIONALE ,female
MISTO ,female
SINISTRA DEMOCRATICA - L'ULIVO ,female
MISTO ,female
LEGA PADANIA ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
FORZA ITALIA ,female
RIFONDAZIONE COMUNISTA - PROGRESSISTI ,female
DEMOCRATICI DI SINISTRA - L'ULIVO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
FORZA ITALIA ,female
PARTITO COMUNISTA ITALIANO ,female
RIFONDAZIONE COMUNISTA ,female
MISTO ,female
PARTITO SOCIALISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRAZIA CRISTIANA ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO SOCIALISTA LAVORATORI ITALIANI ,female
PARTITO NAZIONALE MONARCHICO ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
MOVIMENTO SOCIALE ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO SOCIALISTA ITALIANO ,female
PARTITO SOCIALISTA ITALIANO ,female
PARTITO SOCIALISTA ITALIANO ,female
COMUNISTA ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
MOVIMENTO 5 STELLE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
LIBERI E UGUALI ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
AZIONE - ITALIA VIVA - RENEW EUROPE ,female
LEGA - SALVINI PREMIER ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE ,female
MOVIMENTO 5 STELLE ,female
AZIONE - ITALIA VIVA - RENEW EUROPE ,female
MOVIMENTO 5 STELLE ,female
AZIONE - ITALIA VIVA - RENEW EUROPE ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE ,female
AZIONE - ITALIA VIVA - RENEW EUROPE ,female
ALLEANZA VERDI E SINISTRA ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO ,female
SINISTRA ITALIANA - SINISTRA ECOLOGIA LIBERTA' - POSSIBILE ,female
LEGA - SALVINI PREMIER ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
MISTO ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
MISTO ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
PARTITO DEMOCRATICO ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
INSIEME PER IL FUTURO ,female
CORAGGIO ITALIA ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
MISTO ,female
MISTO ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
ITALIA VIVA ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
PARTITO NAZIONALE MONARCHICO ,female
PARTITO NAZIONALE MONARCHICO ,female
