UNODC;unodc_ddds@un.org;;;;;;;;;;;
06/06/2022;;;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;305;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;200;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;347;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;197;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;93;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;455;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;612;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;756;CTS
CRI;Costa Rica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
CRI;Costa Rica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
CRI;Costa Rica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;0;CTS
CRI;Costa Rica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;0;CTS
CYP;Cyprus;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;66;CTS
CYP;Cyprus;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;77;CTS
CYP;Cyprus;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;96;CTS
CYP;Cyprus;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;122;CTS
CYP;Cyprus;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;104;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;297;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;195;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;311;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;209;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;360;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;216;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;489;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;370;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;649;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;523;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;728;CTS
CZE;Czechia;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;611;CTS
DEU;Germany;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;6672;CTS
DEU;Germany;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;7682;CTS
DEU;Germany;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;12517;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;0;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;192;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;256;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;239;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;1752;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;1593;CTS
DNK;Denmark;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;1505;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;84;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;125;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;126;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;107;CTS
ECU;Ecuador;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;95;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;2118;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;764;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;2228;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;872;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;2170;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;906;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;2288;CTS
ESP;Spain;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;1024;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;69;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;120;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;118;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;154;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;184;CTS
EST;Estonia;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;175;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;77;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;187;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;143;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;111;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;126;CTS
FIN;Finland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;185;CTS
FRA;France;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;2409;CTS
FRA;France;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;2981;CTS
FRA;France;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;3373;CTS
FRA;France;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;4027;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;197;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;154;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;319;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;204;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;404;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;300;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;518;CTS
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;416;CTS
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;603;CTS
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;645;CTS
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;649;CTS
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;658;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;283;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;283;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;169;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;169;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;258;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;258;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;164;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;164;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;282;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;282;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;329;CTS
GRC;Greece;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;329;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;0;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;1;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;1;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;1;CTS
GRD;Grenada;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;1;CTS
GTM;Guatemala;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;5;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;0;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;0;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;107;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;140;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;231;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;101;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;251;CTS
HRV;Croatia;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;44;CTS
HUN;Hungary;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;270;CTS
HUN;Hungary;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;1433;CTS
HUN;Hungary;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;209;CTS
HUN;Hungary;Europe;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;248;CTS
IRL;Ireland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;286;CTS
IRL;Ireland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;340;CTS
IRL;Ireland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;397;CTS
IRL;Ireland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;503;CTS
ISL;Iceland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;3;CTS
ISL;Iceland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;3;CTS
ISL;Iceland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;5;CTS
ISL;Iceland;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;5;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;558;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;638;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;513;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;581;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;628;CTS
ITA;Italy;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;823;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2018;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;0;CTS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;0;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;2;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;130;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;1;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;118;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;6;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;187;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;6;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;160;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;8;CTS
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;4;CTS
LTU;Lithuania;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;39;CTS
LTU;Lithuania;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;91;CTS
LTU;Lithuania;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;136;CTS
LTU;Lithuania;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;148;CTS
LTU;Lithuania;Europe;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;163;CTS
